GI_21729887-A,GI_13787188-A,GI_40254432-S,GI_42659113-S,GI_19923309-S,GI_6006027-S,GI_4757909-S,GI_21389588-S,GI_5453687-S,GI_16936521-S,GI_34328938-A,GI_25777740-S,GI_22027631-I,GI_37550393-S,GI_39725953-S,GI_31982893-S,GI_7662281-S,GI_34106709-A,GI_23346417-S,GI_23312375-A,GI_22095374-S,GI_38455386-S,GI_21361309-S,GI_5803118-S,GI_38788154-I,GI_5803174-S,GI_42403584-A,GI_31442419-S,GI_20336241-S,GI_25952086-S,GI_40806213-S,GI_21362109-S,GI_42734372-S,GI_13787214-I,GI_33598967-S,GI_31342420-S,GI_10518505-A,GI_21359847-S,GI_40538800-S,GI_19923751-S,GI_28916697-S,GI_18379345-S,GI_30410789-A,GI_24308026-S,GI_37540466-S,GI_37540257-S,GI_19311005-S,GI_18677732-S,GI_39995097-S,GI_31742495-S,GI_7706352-S,GI_6382080-S,GI_31621308-S,GI_21327704-A,GI_8923931-S,GI_22749412-S,GI_23503316-S,GI_24308361-S,GI_37574699-S,GI_42657580-S,GI_20070311-S,GI_16306551-S,GI_42658518-S,GI_23312363-A,GI_39725713-S,GI_20547782-S,GI_17402885-I,GI_34303921-S,GI_34577117-S,GI_37546824-S,GI_25952130-S,GI_27735148-S,GI_7705613-S,GI_37537553-S,GI_19923454-S,GI_37541815-S,GI_33239448-S,GI_31317289-A,GI_13899226-S,GI_24308154-S,GI_40255263-S,GI_42658506-S,GI_22748764-S,GI_38455407-S,GI_24308234-S,GI_4557806-S,GI_4502100-S,GI_4757861-S,GI_39725653-S,GI_27735120-S,GI_4505730-S,GI_7662287-S,GI_7706670-S,GI_32130535-S,GI_27475984-S,GI_37549246-S,GI_16950598-S,GI_21618332-S,GI_22035675-S,GI_31543291-S,GI_17738313-S,GI_31083027-S,GI_41393562-I,GI_6996017-S,GI_19923880-S,GI_5730054-S,GI_31542758-S,GI_18152778-S,GI_38348409-S,GI_14149980-S,GI_20531764-S,GI_42661202-S,GI_7705784-S,GI_45120095-S,GI_14249537-S,GI_24308441-S,GI_8923558-S,GI_40385863-S,GI_28872764-A,GI_22749254-S,GI_7710156-A,GI_4557248-S,GI_31377716-S,GI_6005992-I,GI_17999533-S,GI_42660513-S,GI_31317285-A,GI_24308052-S,GI_14589915-I,GI_34147373-S,GI_33942071-S,GI_27532983-A,GI_14249127-S,GI_31377808-S,GI_17402894-A,GI_14149858-S,GI_20127565-S,GI_34222316-S,GI_21536290-S,GI_22749340-S,GI_5803014-S,GI_31543612-S,GI_4585642-S,GI_19923535-S,GI_40255112-S,GI_19923938-S,GI_28872758-A,GI_24431943-S,GI_7661567-S,GI_30474869-I,GI_11184225-S,GI_34328935-S,GI_40316923-I,GI_5922012-S,GI_22208956-S,GI_17978465-S,GI_7706676-S,GI_13518031-S,GI_32528302-S,GI_21389432-S,GI_23397461-S,GI_4503064-S,GI_21700762-S,GI_24307912-S,GI_14150026-S,GI_33186924-S,GI_37541570-S,GI_18765691-S,GI_38201613-A,GI_40217816-S,GI_24308335-S,GI_40538791-S,GI_14149729-S,GI_7661807-S,GI_39777591-S,GI_34147355-S,GI_32129213-S,GI_31343332-S,GI_21389570-S,GI_29740938-S,GI_45446748-S,GI_20336215-A,GI_40018630-A,GI_30795214-A,GI_41349438-I,GI_31341135-S,GI_39995085-S,GI_31317226-S,GI_20127497-S,GI_34222111-S,GI_5032026-S,GI_34222302-S,GI_29570789-I,GI_34222347-S,GI_32698981-S,GI_42741658-S,GI_42657464-S,GI_31542979-S,GI_21614543-S,GI_22095354-S,Classes
0.550014,0.311092,1.332592,0.298708,-0.093159,-0.027127,-0.340954,0.024127,1.037882,-0.025078,-0.0455,-0.037405,0.277945,0.263141,0.029236,-0.04656,0.12684,0.400323,0.141081,0.664494,0.06331,-0.300468,0.707819,0.017631,0.556411,0.140146,0.008077,0.152029,0.267162,-0.203994,0.546664,-0.028436,-0.306723,-0.378369,-0.057263,0.49275,0.356817,0.050364,0.296358,0.339928,-0.105181,0.186426,0.510869,0.085447,-0.040387,-0.373951,0.060971,0.399329,-0.400248,-0.118953,0.121105,-0.467454,-0.0516,0.481308,0.050621,0.128502,-0.04224,0.135409,0.022144,0.282518,-0.071975,0.029009,-0.125836,-0.402844,-0.02574,0.353977,0.397485,-0.10413,0.105186,-0.0817,0.39623,-0.051904,-0.405424,0.276056,0.140478,0.045962,0.107279,-0.050977,0.252993,0.075724,0.357494,0.027686,-0.046742,0.451858,0.396711,0.073249,-0.191987,-0.035677,0.060764,-0.230172,-0.205537,0.204825,0.028761,0.081704,0.422801,-0.088073,0.528465,-0.322821,-0.045534,0.4167,0.045665,0.182996,0.227491,0.359909,0.040299,0.524797,-0.273569,-0.103768,-0.102739,-0.035769,-0.316184,-0.078928,0.027856,0.176567,0.149522,0.321557,-0.015422,0.428745,0.080197,0.6227,0.104491,0.073725,0.390474,0.296855,0.029101,-0.091484,-0.042744,0.101706,-0.509991,0.115419,0.085927,-0.023155,0.281919,0.86295,-0.093026,0.186942,0.079445,-0.42046,0.074171,0.332082,-0.05412,-0.191489,-0.254546,0.092049,0.813102,-0.035862,0.374055,0.12187,-0.044866,0.096404,0.373655,0.189787,-0.312099,0.09994,0.305083,0.122164,-0.419529,0.11558,-0.115698,-0.486951,0.073153,0.879443,0.0764,0.123973,0.052746,-0.09165,0.143245,0.107508,0.381413,0.534315,0.422648,0.151551,-0.607525,0.339907,-0.1251,0.238392,0.941659,0.541129,0.159544,0.36522,0.067898,-0.175935,0.230622,-0.048945,0.168785,0.004805,0.093792,1.081754,0.106457,0.885219,0.058764,-0.158459,0.31321,0.429454,-0.245168,0.092341,0.665389,0.281172,0.246964,0.11647,2
-0.134623,-0.065794,-0.15109,-0.19829,-0.046209,0.475456,-0.120697,0.69728,-0.192978,-0.095153,-0.0455,-0.037405,-0.10622,-0.051969,0.102456,-0.031616,-0.088804,-0.113602,0.03462,-0.176604,0.30125,-0.077809,-0.000878,0.017631,-0.047658,0.7153,-0.078933,0.92127,-0.221914,-0.047025,-0.020341,-0.028436,-0.042302,-0.081936,-0.236185,-0.407801,-0.041329,0.112986,-0.289403,-0.027299,0.320744,-0.100285,-0.062885,1.047884,-0.040387,-0.038066,-0.060771,-0.121753,-0.598537,-0.055579,-0.040115,-0.067804,-0.0516,-0.07442,-0.05404,0.283424,-0.04224,1.233511,-0.047945,0.049434,-0.071975,0.867352,-0.02037,-0.01158,0.047789,-0.040883,-0.089803,-0.801133,-0.065225,-0.040665,0.373568,-0.041858,-0.068102,0.370161,0.662388,0.344641,-0.122827,-0.050977,-0.135324,0.621213,-0.069726,0.092085,-0.046742,-0.028573,-0.116803,0.790231,0.122528,-0.035677,0.726383,-0.423555,-0.03587,-0.032281,0.028761,0.451367,-1.088722,-0.074016,-0.077094,-0.124585,-0.045534,-0.067358,-0.077366,-0.079296,1.560241,-0.075937,-0.067701,-0.118068,-0.124206,0.714978,-0.032617,-0.035769,-0.093189,-0.078928,0.813805,1.783284,0.675982,-0.096241,-0.015422,-0.052722,-0.093239,0.859011,1.386167,-0.26348,-2.57094,-0.072815,-0.219539,-0.036284,-0.042744,0.101706,0.312338,-0.072968,0.547943,-0.05901,-0.054769,-0.081549,-0.060436,0.693517,-0.180017,-0.109261,0.631447,0.110317,-0.05412,-0.564192,1.473531,0.16383,-1.664229,-0.035862,-0.067558,-0.125811,-0.044866,1.018595,0.074879,1.018208,0.842997,0.941353,0.283226,1.989883,1.105905,1.6753,-0.092956,1.05423,0.073153,-0.159064,0.62449,0.754949,0.262874,0.058416,0.551451,0.815899,0.505827,-0.101896,-0.059442,0.89222,-0.22075,-0.062972,0.420209,0.524118,-0.495594,-1.298666,0.71107,-0.123148,0.221874,-0.085035,3.730606,-0.048945,1.399936,0.334607,0.919233,-0.103373,1.212268,-0.117823,-0.909451,-0.366917,-0.052364,-0.061387,1.540426,0.212437,0.07193,-0.313763,0.528108,-0.06533,2
0.2434,0.576863,0.377808,-0.283288,-0.004054,-0.139849,-0.129867,-0.839723,-0.318409,0.350294,-0.252825,-0.112285,0.659335,-0.435547,0.197424,0.323082,-0.691707,-0.464751,0.418628,0.287554,-0.873682,0.11176,-0.218426,0.087283,0.060709,-0.820358,0.076488,-0.825005,-0.855977,0.11941,0.244356,0.015057,-0.35326,0.290457,0.151768,0.39861,0.231391,-0.63245,0.81319,-0.077403,-0.029493,0.340492,0.53352,-0.46036,0.062655,0.090203,0.127649,0.341452,-0.122356,0.160968,-0.016819,-0.017455,-0.100874,0.768755,0.0408,-1.033566,-0.429815,-0.14865,-0.400689,0.173727,-0.194082,-0.779824,0.053252,-0.01299,-0.422861,0.218228,0.938923,0.534848,0.351781,0.168824,0.481121,-0.043159,0.307015,-0.113307,-0.31909,-0.55109,0.260398,-0.492492,0.493468,-1.107669,0.640546,0.809209,0.487478,-0.142151,0.875345,-0.510553,0.022373,-0.68816,-0.928131,0.172769,-0.006689,0.229022,-0.953987,-0.653016,0.403006,0.080194,0.150266,-0.071102,-0.203191,0.461995,-0.028688,-0.404975,-0.29557,-0.299727,0.269131,1.059268,0.554249,-0.419405,0.358132,-0.239369,0.483687,-0.088652,0.020714,0.176567,0.163856,0.544875,0.038045,-0.061561,0.029746,-0.466986,-1.102489,-0.629132,1.074258,0.249293,0.078876,-0.194451,-0.141123,0.476488,0.645067,-0.311986,-0.82919,0.264924,0.209313,0.594054,0.051487,0.209876,0.111011,0.446865,-1.383081,0.107608,0.283038,0.082127,0.0514,-0.032297,0.977589,0.010537,-0.295965,0.216668,0.060416,-0.74126,-0.039228,-0.091747,0.286169,-0.474966,-0.422258,-1.539582,-1.234132,-0.276783,-0.141289,-0.266714,0.022357,0.578388,-1.470376,-0.446645,0.14393,0.270803,-0.326744,-1.019177,0.078862,0.862219,0.283339,0.276751,0.052276,0.390054,0.312599,-0.015738,0.65613,0.988417,-0.836038,0.211626,-0.267848,0.186591,-2.104651,-0.033677,0.168785,-0.535422,-0.023006,-0.66223,-1.175248,0.496056,0.668193,-0.02441,-0.200819,0.14062,-1.111282,-0.544356,-0.389844,0.10919,0.200792,0.074921,2
-0.570761,-0.418103,-0.791085,-1.549997,0.365317,-0.008518,-0.304089,-0.824819,0.239432,-0.067989,0.240363,0.368511,-0.416434,0.220309,-0.121181,0.043571,0.436215,-1.275772,0.347584,-0.511057,-0.384637,-0.074004,0.33255,-0.100667,0.270241,-1.152014,-0.077346,-1.120539,0.238761,-0.870424,0.836869,0.25233,-0.37509,0.437601,0.275494,0.67005,-0.037496,0.294791,-0.0435,0.151867,0.247335,-0.01386,0.050566,-0.140253,0.065642,0.326392,-0.04256,0.253731,0.505294,0.488452,-0.496506,-0.045025,0.030919,-1.326508,0.270065,0.128502,0.194777,-0.919554,-0.117421,1.051471,0.144414,-0.001782,0.523094,0.000186,0.112177,0.057084,-0.01303,0.21294,0.258777,0.13704,-0.08617,-0.071606,-0.244974,-0.147511,-0.344567,-0.250337,-0.215361,-0.352722,-0.588415,-0.614663,0.337552,-0.222065,-0.117091,0.430778,0.284835,-0.407026,0.26449,0.009045,-1.017077,0.932067,0.043559,-0.294184,-0.871933,0.081704,-0.338593,-0.140327,0.132627,0.741871,-0.13022,-0.716069,0.587033,-0.595553,0.024637,-0.296408,0.123063,0.758505,0.294457,-0.566646,-0.034897,-0.445982,0.557284,0.019027,0.171826,0.176567,-0.717011,-0.465293,0.024964,-0.467023,0.378069,-0.602666,0.061305,-0.716137,0.656458,-0.096389,0.599413,0.692771,0.031278,-0.636564,0.069218,-0.139008,-0.723982,0.226781,0.400004,-0.666529,0.311184,-0.316843,0.341676,0.024375,-1.835217,-0.258051,0.467137,0.335132,-1.304758,0.10115,0.213131,0.015402,-0.035763,0.12593,0.279282,-0.987763,-0.063199,0.144102,0.403452,-1.539701,0.177683,-1.345911,-1.001687,-0.395394,0.426552,-0.232661,-0.568818,-0.082854,-0.189622,0.309146,0.274145,-0.336748,-0.488471,-0.790015,-0.368083,0.324137,0.184545,-1.314725,-0.091758,0.218111,-0.0778,-0.565168,-0.449007,0.89708,0.159544,0.479762,-0.105117,0.334557,-2.194599,-0.155645,0.168785,-0.683712,-0.696854,-0.263398,-0.706364,0.613787,0.029894,0.355209,0.298122,-0.041711,-0.5992,-0.37031,-0.200691,-0.178121,0.200792,0.012854,2
-0.134623,-0.065794,-0.15109,-0.214559,-0.046209,-0.027127,-1.223995,0.88976,-0.192978,-0.789481,-0.0455,-0.037405,-1.097236,-0.051969,0.003186,-0.031616,-0.088804,-0.113602,0.03462,-0.176604,0.030238,-1.17046,0.646057,-0.475874,-0.047658,1.10017,-0.078933,1.21348,-2.7368,-0.792537,-0.020341,-0.028436,-0.042302,-0.081936,-0.042882,-0.805028,0.455576,0.257683,-0.064027,-0.027299,0.29653,-0.100285,-0.062885,0.085447,-0.040387,-0.038066,-0.114288,-1.378304,-0.86418,-0.055579,-0.040115,-0.749802,-0.0516,-0.632867,-0.05404,1.062749,-0.284221,0.945635,-1.048716,0.260738,-0.071975,0.029009,-0.02037,-0.01158,0.047789,-0.040883,-0.089803,-0.134089,-0.065225,-0.040665,0.510208,-0.3275,-0.068102,0.050301,1.823592,0.369279,-0.122827,-0.050977,-0.135324,0.520387,-1.325445,-0.654171,-0.046742,-0.028573,-0.116803,0.931823,0.278194,-0.035677,1.105515,0.106079,-0.03587,-0.226515,-0.249068,0.815049,-0.596205,-0.388214,-0.077094,-1.590378,-0.045534,-0.495886,-0.077366,-0.047383,0.227491,-0.523843,-0.067701,-2.050228,-1.401283,0.061566,-0.275158,-0.035769,-0.093189,-0.306587,0.760743,1.533779,1.158328,-0.096241,-0.015856,-1.004777,-0.093239,0.606574,0.287284,0.741601,-0.189372,-0.072815,-0.63415,-0.916908,-0.042744,0.101706,-0.004432,-0.072968,0.222726,-0.05901,-0.997361,-0.081549,-0.060436,0.308168,-0.041414,-0.109261,0.468693,0.048629,-0.05412,0.289305,0.89799,0.833681,-0.204211,-0.035862,0.069068,-0.125811,-0.044866,0.096404,0.074879,0.757195,1.57571,0.764428,0.329965,1.507926,1.031173,1.575071,-0.945285,1.461311,0.073153,-0.159064,1.352532,0.618152,0.730374,-0.354852,0.399952,0.377237,0.048285,-0.769407,-0.059442,0.901982,-0.400638,-0.062972,0.441695,0.347872,0.389534,-2.137656,1.661648,-0.123148,1.198723,-0.085035,3.897647,-1.081791,1.67708,0.123546,0.093792,-0.582133,1.777941,-1.770381,-0.734054,-0.097855,-0.052364,-0.061387,1.29605,0.20838,0.188921,0.373926,0.200792,-0.06533,2
0.164247,-0.287365,-0.586559,1.793806,0.656922,-0.027127,0.761187,-0.057276,0.393732,0.517961,-0.0455,-0.457373,0.922964,-1.401831,-0.624386,0.805267,0.708697,0.340019,-0.522817,0.114607,0.444644,0.223852,0.025345,0.598258,-0.346048,0.140146,-0.160458,-0.387554,0.829149,0.502491,-0.111986,-0.095646,0.194363,-0.912921,-0.361648,0.450144,-0.041329,-0.112818,-0.102895,-0.027299,-0.298856,0.170561,-1.184748,0.085447,-0.877399,-0.038066,0.719627,0.758797,0.866386,-0.381149,-0.040115,0.238604,0.228093,0.275941,-0.05404,-0.421364,-0.02128,-0.329553,0.061927,0.555448,-0.514521,0.297615,-0.072785,-0.01158,-0.021852,0.371016,-0.755772,-0.810226,-0.468729,0.600737,0.424942,0.214907,-0.068102,0.09492,-0.451846,0.10319,-0.029647,0.194755,1.174545,-0.762665,-0.308788,1.053355,-0.654299,0.008481,-0.043673,-0.78437,0.122528,-0.438685,-0.477437,0.088477,-0.528041,0.054108,0.594394,0.105155,0.028019,-0.109113,-0.727206,0.711728,-0.045534,0.519311,-0.438203,0.029315,0.227491,0.817001,-0.788623,0.317785,0.719058,-0.103487,0.149983,-0.09517,0.246159,-0.031267,0.025339,-0.047916,0.313153,-0.265789,0.140865,0.756537,-0.31469,-0.745095,0.237726,-0.460108,0.458336,0.001621,-0.990166,1.032864,-0.042744,0.101706,-0.923525,0.2432,-0.383681,0.253917,0.467996,0.223762,-0.919555,0.186942,-0.443395,-0.109261,-0.953995,-0.576841,-0.281419,-0.070081,-0.223195,-0.642298,1.432905,0.148067,-0.203488,-0.214373,-0.044866,-0.545188,0.074879,-0.49409,-0.450512,-0.212974,-0.66458,-0.274796,-0.562465,-0.419465,0.321772,-0.079949,0.303207,0.589457,0.0764,-0.202037,-0.103845,-0.965786,0.421213,-0.617175,-0.517823,0.230806,-0.29762,-0.547291,-0.438898,0.121443,-0.736836,0.019116,0.494497,0.74334,0.300454,0.246286,-0.667712,0.555254,0.522966,0.727426,0.224616,-0.03387,-0.427359,0.482762,0.092854,-0.254974,-1.056908,-0.305175,-0.732662,-0.912999,-0.029713,-0.994001,0.237777,-0.761263,-1.958616,-0.443344,2
-0.13224,0.424378,0.769436,-1.265907,0.358818,0.30429,1.607362,-0.527368,0.531207,0.192458,0.785118,0.593182,1.288462,1.253399,0.689059,0.298848,0.321516,0.71356,0.711487,-0.246277,-0.409964,0.060174,-0.006301,-0.568031,1.259224,-0.71221,0.745927,-0.645537,0.392398,0.219927,0.10241,0.549499,-0.059138,0.521372,0.140258,0.261403,0.649012,-0.422435,0.858757,-0.125155,1.099979,0.919996,1.229096,0.99397,1.030349,1.161928,0.137065,0.850785,0.538941,0.227984,0.147255,0.372771,0.46362,-0.067827,0.651026,-0.541264,-0.443648,0.135409,0.626135,0.411864,0.759257,-1.237189,0.155901,1.077437,-0.532542,0.289418,1.053697,0.884907,0.982844,-0.034482,0.663389,0.466518,0.806832,-0.042933,-0.066052,-0.678608,0.846695,0.661432,0.631042,0.831268,0.751733,0.23421,-0.083283,0.290293,0.921587,-0.590063,1.705604,0.282899,-1.137205,0.044478,0.535098,0.875416,-0.065092,0.755204,0.724826,0.62512,0.936264,0.315377,0.209457,0.080593,0.56458,-0.703103,-0.380177,-0.313966,1.113717,1.237597,0.459474,0.062327,0.867494,-0.064204,0.553758,0.174889,0.248439,-1.466854,-0.482835,0.195256,0.234363,-0.163953,1.021324,0.124966,-0.535428,-0.32825,1.100951,0.667424,0.851463,0.753473,0.263846,0.108774,0.930167,-0.354106,-0.158319,0.454738,0.898721,0.068378,0.169666,0.130006,0.858259,1.234324,-0.83394,-0.172969,0.758282,1.2461,0.312488,-0.533678,0.683605,0.183113,0.421329,1.279445,0.472471,0.822391,-0.28867,0.198163,0.750813,0.022305,-0.490096,0.122164,-0.522012,0.68711,-0.132774,-0.335114,-0.379847,0.600822,-0.089695,0.147848,0.627237,0.942039,-0.496119,0.264101,-0.284916,1.147993,0.697295,-0.177327,0.710442,0.668677,1.383263,-0.197043,-0.423007,1.477845,-0.886093,1.195791,-0.54958,0.19261,-0.323726,0.110404,0.168785,-0.608824,-0.108782,0.569798,0.303006,1.456206,1.539091,0.701397,0.358304,1.274551,-0.352117,1.403474,-0.457474,-0.431549,0.134674,0.94944,2
0.291809,0.534185,1.842104,0.993936,-0.12637,0.253948,0.806408,0.025748,0.815566,0.556723,0.278742,0.352365,0.788742,0.805561,0.802776,0.558567,0.853238,0.129907,0.20368,1.02263,-0.296525,0.515066,0.091126,-0.257801,1.555294,-0.900231,0.771644,-1.205931,1.280988,-0.124214,1.579604,0.60936,0.497489,1.077849,0.798618,0.954416,0.301894,-0.259541,0.380717,0.816789,-0.126819,0.343127,1.063159,-0.113987,0.485757,1.013859,0.501242,0.72971,0.67937,0.519399,0.306739,0.498517,0.411384,0.116555,0.462757,-0.600718,0.629798,-0.588913,0.877279,0.639283,0.408733,0.010287,0.141526,0.464445,-0.20173,0.397112,0.967817,1.088984,0.661517,0.582653,0.246415,0.148698,0.424031,-0.387284,-0.18845,-0.176632,0.128745,-0.039159,0.260293,0.162078,1.03896,0.200963,0.20724,0.150458,0.939361,-0.336332,-0.101726,0.427819,-1.187545,0.793308,0.913372,-0.063592,-0.294276,-0.233371,1.046396,0.310835,1.193124,0.96954,0.44021,0.320139,0.877572,0.095957,0.006974,-0.707376,0.491845,1.311691,0.604002,-0.141725,0.160397,0.128474,0.640871,0.176846,0.055157,-0.587322,-0.906691,0.74467,0.056422,0.011684,0.657553,-0.529646,-0.598885,-0.466041,1.056452,1.254281,0.962193,0.325178,0.782646,-0.124307,0.488992,0.954276,-0.180054,0.728924,0.614641,0.440537,1.036678,0.251856,0.637126,1.033173,-1.202598,-1.02636,0.266829,0.669395,-0.924991,-0.556543,0.702348,0.405677,0.370906,1.237785,0.508899,-1.150334,0.172309,0.112446,-0.355085,-0.806193,0.24358,-0.617223,-1.098638,-1.247328,0.686298,-0.39946,-0.505695,1.185122,-0.597525,-0.297549,0.429024,0.264734,0.06447,-0.285192,0.00304,0.641647,0.522681,-0.455634,0.521897,0.834898,-0.60882,-0.397336,0.109065,1.30836,-0.827273,1.144403,-0.508884,0.584524,-2.387153,0.182877,-0.616893,-0.111638,-0.442291,0.736208,-0.503077,1.706949,0.988325,-0.093277,1.000001,0.905992,-0.356533,0.376548,-0.174304,-0.74906,1.344576,0.497374,2
0.11667,0.203005,-0.745555,-0.501189,0.093965,0.005619,0.028744,-0.54535,-0.419192,0.269347,-0.60174,-0.230057,0.655506,-0.064259,-0.070871,-0.120362,-0.008735,-0.582034,0.375316,-0.362348,-0.007147,0.352621,0.025345,0.196373,-0.223832,-1.109978,-0.034323,-0.483207,0.198688,0.618197,-0.284899,0.005796,-0.186542,-0.412118,-0.156533,-0.153256,-0.327204,0.071349,0.146074,-0.866118,0.195648,-0.192834,-0.058006,-0.940112,0.533245,-1.008476,0.152237,0.412357,-0.24993,0.136164,-0.65144,0.228436,-0.636898,0.409139,-0.06346,0.128502,-0.111139,0.135409,0.586944,0.002607,-0.565265,-0.281407,-0.367323,-0.410494,-0.20579,0.205077,-0.406952,-0.245606,-0.043047,-0.266413,-0.045221,0.352896,0.063874,0.3517,-0.178961,-0.43336,-0.326464,-0.16895,0.338398,-1.204354,0.150113,-0.680918,0.464247,0.085819,0.152571,0.073249,-1.265155,-0.165352,-0.1855,0.106115,-0.86681,0.584088,1.322557,-0.416562,-0.309357,-0.229525,0.152237,-0.284422,-0.50389,-0.002044,0.056684,-0.418463,0.798652,0.222019,0.039343,0.352602,-0.046781,-0.659177,-0.043584,-0.469941,0.096992,-0.186111,0.005038,0.011546,0.424977,0.127746,0.066338,0.357727,-0.203841,0.019206,0.073442,0.665408,0.556291,0.193446,0.467832,0.464333,-0.307732,0.101706,-0.326798,-0.265501,-0.150171,0.156121,0.30596,0.395132,-0.239122,0.448702,-0.406616,-1.102763,-0.906015,0.176334,-0.13482,0.286507,0.156682,-0.069865,0.372123,-0.002023,0.123898,-0.24535,-0.194024,0.045461,-0.404697,-0.201109,-0.000068,-0.465907,0.319989,0.332954,-0.000386,0.205048,-0.301616,-0.153899,0.059291,0.188895,0.385456,-0.095135,-0.269135,-0.244826,-0.058435,-0.703915,0.09658,0.36005,-0.089582,0.206483,0.115982,-0.001345,-0.2941,0.434387,0.483861,0.687144,-0.973953,0.296331,-0.015028,-0.055892,0.370414,-0.12934,-0.394666,-0.861178,-0.219891,0.104272,-0.228318,0.288712,0.301588,0.42575,-0.293232,-0.20887,0.402193,-0.909328,-0.060985,-0.718573,0.065659,0.294936,2
-0.394834,0.013385,-1.960208,-1.467722,-0.48091,-0.051939,0.422986,-0.635416,-0.644309,-0.338597,-0.392162,0.200765,-0.434031,0.327657,-0.54228,-0.445481,-0.153463,-0.46486,0.052529,-0.745465,0.030238,-0.153538,0.025345,0.414912,-0.509516,0.087826,-0.288306,0.367226,-0.523607,0.199735,-1.202968,0.511415,-0.376041,-0.763062,-0.070558,-1.071597,-0.276651,0.406503,-0.244675,-0.48473,0.118118,-0.481513,-0.429226,0.040166,-0.062567,0.004364,0.12164,-0.035488,-0.099379,-0.11009,-0.302286,-0.338172,-0.213937,0.088901,0.006149,0.152329,-0.786736,0.135409,-0.218147,-0.040793,0.194654,0.064917,-0.472594,0.051118,0.447349,-0.296512,-0.645762,-0.341099,0.042972,-0.084634,-0.38043,0.505451,-0.257748,0.280731,-0.359798,-0.265455,-1.07338,-0.362027,-0.17738,0.057585,-0.076844,-0.375388,-0.268261,-0.03801,-0.317995,0.013001,0.305508,-0.146174,0.639961,-0.318386,-0.427694,0.194277,-0.32108,-0.262663,-0.450584,-0.03557,-0.122848,-0.219313,0.100197,0.200278,-0.75579,-0.215597,0.341338,-0.408818,-0.407273,-0.173261,0.026345,0.4292,0.093253,0.169305,-0.503913,0.198842,-0.335878,-0.426951,0.297703,-0.364313,0.207249,-0.363258,-0.215523,0.723394,-0.396118,0.431909,-0.392705,-0.137545,0.207234,0.14751,-0.512175,0.146607,-0.005063,-0.99449,0.278029,-0.373547,-0.172,0.090003,0.057004,-0.136797,-0.116571,-0.305094,-0.51584,0.419547,0.23675,0.149652,0.538399,0.365186,-0.841525,-0.370685,0.055059,-0.639483,-0.159591,0.797577,-0.251658,0.164586,-0.303378,0.769086,-0.561473,0.055272,0.746201,0.036621,-0.005079,0.195827,0.143995,-0.587239,-0.005173,0.274896,-0.07608,0.139364,-0.436135,0.343745,-0.045525,-0.254115,-0.489983,0.37968,-0.129019,0.034824,0.635161,0.267237,-0.616203,0.031063,-0.534324,-0.325535,-0.190788,0.033471,0.081604,0.077141,-0.39002,-0.351659,0.529426,0.296263,-0.240232,-0.49415,0.55885,0.203394,0.287321,-0.077678,-0.374863,-0.113356,-0.303987,0.335194,0.377581,0.109876,2
